"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Nuevo Garrisons burger","4.7","303","C. Cartagenera, 15","Huelva","Huelva","ES","https://www.facebook.com/profile.php?id=100088812015001","+34 666 48 60 88","Hamburguesería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Nuevo%20Garrisons%20burger&query_place_id=ChIJ_yuK8uLPEQ0Rb5aNOgw3EbU","Hamburguesería"
"Bar Sergio Huelva","4.1","36","Plaza Andévalo, 6","Huelva","Huelva","ES",,"+34 652 76 97 58","Bar de tapas",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Sergio%20Huelva&query_place_id=ChIJ14qJTenPEQ0RCJKNXBYHVf4","Bar de tapas"
"Cervecería El Rey del Barril","4.2","725","C. Cartagenera, 15","Huelva","Huelva","ES","http://elreydelbarril.com/","+34 687 48 37 78","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cervecer%C3%ADa%20El%20Rey%20del%20Barril&query_place_id=ChIJcf5P7eLPEQ0RGgkAqq_XYl8","Bar"
"Bar maysam","4.7","18","C. Severo Ochoa, 32","Huelva","Huelva","ES",,"","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20maysam&query_place_id=ChIJl75GXgDPEQ0RaX1Tg0VuM18","Restaurante"
"Bar café nandos","4.5","20","Av. de Cristóbal Colón, 151","Huelva","Huelva","ES",,"+34 692 61 69 42","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20caf%C3%A9%20nandos&query_place_id=ChIJ7ZO8sqvPEQ0Rtm0-m5LF0b8","Bar"
"Bar El Almendro","4.1","55","Plaza Ntra. Sra. de los Dolores","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20El%20Almendro&query_place_id=ChIJn2iTbtvPEQ0ROzdnJEspm1A","Bar"
"Salón de Juegos Bar Abel","4.2","78","C. Alonso de Ercilla, 24","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Sal%C3%B3n%20de%20Juegos%20Bar%20Abel&query_place_id=ChIJ3y9JmOTPEQ0RIAW-vxsU-fw","Bar"
"Cervecería Gallo Negro","4.2","17","Av. de Cristóbal Colón, 113","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cervecer%C3%ADa%20Gallo%20Negro&query_place_id=ChIJW29DDhTPEQ0RioDF55qotp0","Bar"
"Parrilla San Antonio","5","2","Av. San Antonio","Huelva","Huelva","ES",,"","Restaurante familiar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Parrilla%20San%20Antonio&query_place_id=ChIJQxWPagDPEQ0RWedPa_jCOrM","Restaurante familiar"
"Asador de pollos Las Colonias","4.3","39","Av. de Cristóbal Colón, 129","Huelva","Huelva","ES",,"+34 664 00 17 26","Restaurante especializado en pollo",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asador%20de%20pollos%20Las%20Colonias&query_place_id=ChIJudLqMLrPEQ0RDAGN4ZsjsvQ","Restaurante especializado en pollo"
"Attimora",,,"C. Martín Pescador","Huelva","Huelva","ES",,"+34 614 62 67 53","Snack bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Attimora&query_place_id=ChIJURcGxT_PEQ0RvGjsechb-XI","Snack bar"
"Hamburguesería Plaza de Toros","4.5","49","C. Guadalcanal, 1","Huelva","Huelva","ES","https://www.burguerplazadetoros.es/","+34 635 38 88 75","Hamburguesería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hamburgueser%C3%ADa%20Plaza%20de%20Toros&query_place_id=ChIJS4tqlBrPEQ0RgyYo3X6w7BY","Hamburguesería"
"Mariscos Méndez","4.5","50","C. Arrastre, 14","Huelva","Huelva","ES","http://www.mariscosmendez.com/","+34 959 28 17 85","Mayorista de marisco","Marisquería","Mayorista",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mariscos%20M%C3%A9ndez&query_place_id=ChIJ-XTbkCrQEQ0RP6EUY2BWu_w","Mayorista de marisco"
"La Hispanidad: Hamburguesería y Churrería","4.4","33","C. Ruiz de Alarcón, 2","Huelva","Huelva","ES",,"+34 600 36 88 69","Hamburguesería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=La%20Hispanidad%3A%20Hamburgueser%C3%ADa%20y%20Churrer%C3%ADa&query_place_id=ChIJq0ccIrvPEQ0ReWKOw-Albks","Hamburguesería"
"Más ke Pollos","4.2","77","Av. Adoratrices, 71","Huelva","Huelva","ES",,"+34 959 81 64 90","Restaurante especializado en pollo",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=M%C3%A1s%20ke%20Pollos&query_place_id=ChIJy-VW29_PEQ0RYkm6_8_zrvI","Restaurante especializado en pollo"
"Freiduría Asador","4.1","16","C. Águila Imperial","Huelva","Huelva","ES",,"","Parrilla",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Freidur%C3%ADa%20Asador&query_place_id=ChIJ6fVFA8XPEQ0ROGU2sB9mpOY","Parrilla"
"Bar Jabali","3.9","88","Av. de Cristóbal Colón, 92","Huelva","Huelva","ES",,"+34 631 61 82 28","Pizzería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Jabali&query_place_id=ChIJG6hGy9vPEQ0RJqH2d8ZMNLE","Pizzería"
"Carnicería Charcutería El Almacén","4.7","69","Av. de la Orden, 37","Huelva","Huelva","ES","http://www.carniceriaelalmacen.com/","+34 642 89 36 92","Carnicería","Delicatessen de carnicería","Charcutería","Quesería","Jamonería","Tienda de jamones","Mayorista de carnes",,,,"https://www.google.com/maps/search/?api=1&query=Carnicer%C3%ADa%20Charcuter%C3%ADa%20El%20Almac%C3%A9n&query_place_id=ChIJI2CENcDPEQ0RYFrf1JwyKyw","Carnicería"
"Bar Canijo","4.4","118","Pl. Orquídea, 9","Huelva","Huelva","ES",,"","Bar de tapas",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Canijo&query_place_id=ChIJI53BJvDPEQ0Ryqk9aQHT-34","Bar de tapas"
"Bodeguita Leal","4.2","288","C. Artesanos, 10","Huelva","Huelva","ES",,"+34 625 07 18 81","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bodeguita%20Leal&query_place_id=ChIJq6p--ejPEQ0RExxMCVaj8rQ","Bar"
"Bar ""La Sartencilla""","4","60","C. Severo Ochoa, 16","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20%22La%20Sartencilla%22&query_place_id=ChIJH9sGuOnPEQ0RxicXtRN4-N4","Bar"
"Bar Cintado","3.9","85","Av. de Cristóbal Colón, 34","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cintado&query_place_id=ChIJTfohv9nPEQ0Rpr5vpLiLALU","Bar"
"Bar Cafetería Spencer","4","81","C. Artesanos, 4","Huelva","Huelva","ES",,"","Cafetería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20Spencer&query_place_id=ChIJvz6twujPEQ0RH6x1Zh5MP9Q","Cafetería"
"Bar Esencia",,,"C. Alonso de Ercilla, 35","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Esencia&query_place_id=ChIJxy1SLQDPEQ0R-_eCPVGGH5E","Bar"
"Bar Nuevo Fantasma","3.7","211","Av. de Diego Morón, 33","Huelva","Huelva","ES",,"+34 603 12 12 28","Bar de tapas","Heladería",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Nuevo%20Fantasma&query_place_id=ChIJieg60OnPEQ0RNgGsNtRC-0E","Bar de tapas"
"Juegos Bar Montevideo","4.3","3","C. Montevideo, 39","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Juegos%20Bar%20Montevideo&query_place_id=ChIJ5_HWTMDPEQ0R8IS6z_NYsN4","Bar"
"Bar Restaurante Juan José","4.5","3495","C. Villa Mundaka, 1","Huelva","Huelva","ES","https://bar-restaurantejuanjose.es/","+34 959 26 38 57","Restaurante","Bar","Restaurante de cocina española",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Restaurante%20Juan%20Jos%C3%A9&query_place_id=ChIJEUY459_PEQ0R0Q72g_Jrlq0","Restaurante"
"Kebab Al-Ándalus","4","322","Av. de Cristóbal Colón, 109","Huelva","Huelva","ES","https://kebabalandalus.es/?utm_source=google&utm_medium=ficha&utm_campaign=perfil","+34 959 81 97 20","Restaurante especializado en döner kebab","Restaurante de comida rápida","Restaurante halal","Comida a domicilio","Pizzería","Restaurante turco",,,,,"https://www.google.com/maps/search/?api=1&query=Kebab%20Al-%C3%81ndalus&query_place_id=ChIJ8wRQS9rPEQ0RgHocJ7iyrak","Restaurante especializado en döner kebab"
"Houdda coquet group s.l",,,"Av. de Diego Morón, 14","Huelva","Huelva","ES",,"+34 624 89 75 20","Bar restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Houdda%20coquet%20group%20s.l&query_place_id=ChIJgUBS2GXPEQ0RmYkXVAQ7tLM","Bar restaurante"
"El Gustazo","3.7","3","Av. de Cristóbal Colón, 184","Huelva","Huelva","ES",,"+34 959 28 22 92","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=El%20Gustazo&query_place_id=ChIJqecey8TPEQ0RdGm5WosjyWE","Restaurante"
"Bar Centro Pati","4.3","126","C. Antonio Rengel, 28","Huelva","Huelva","ES",,"","Bar de tapas","Restaurante",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Centro%20Pati&query_place_id=ChIJ75fYm8TPEQ0RTVEFLDuyeNo","Bar de tapas"
"ASADOR DE POLLOS EL GRECO","3.8","24","Av. Santa Marta, 25","Huelva","Huelva","ES",,"+34 613 62 51 85","Restaurante especializado en pollo",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=ASADOR%20DE%20POLLOS%20EL%20GRECO&query_place_id=ChIJ41PafobPEQ0R7q79cq4-ur4","Restaurante especializado en pollo"
"McDonald's","3.6","4619","Av. Molino de la Vega, s/n","Huelva","Huelva","ES","https://mcdonalds.es/","+34 959 25 24 35","Restaurante de comida rápida",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=McDonald's&query_place_id=ChIJO10c_NXPEQ0R3BfnSErMKRU","Restaurante de comida rápida"
"leviatan kebab","3.4","188","Calle Valparaíso","Huelva","Huelva","ES",,"+34 959 87 41 85","Restaurante de comida rápida",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=leviatan%20kebab&query_place_id=ChIJQR_7B8LPEQ0R-KX1-3z0mQM","Restaurante de comida rápida"
"Burger King","3.3","2262","Calle Dr. Emilio Haya Prats, 14","Huelva","Huelva","ES","https://www.burgerking.es/home?utm_source=gmb&utm_medium=local_seo_home&utm_campaign=tracking_seo","+34 649 05 74 44","Restaurante de comida rápida","Restaurante americano","Restaurante especializado en pollo","Hamburguesería","Restaurante de comida para llevar","Restaurante","Restaurante vegano",,,,"https://www.google.com/maps/search/?api=1&query=Burger%20King&query_place_id=ChIJCQSDuvHPEQ0RPnx2Z4xmNE8","Restaurante de comida rápida"
"Telepizza Huelva, Residencial Moret - Comida a Domicilio","3.8","318","Residencial, Plaza Amparo Correa Beltrán, Parque Moret, 2","Huelva","Huelva","ES","https://www.telepizza.es/?utm_source=google&utm_medium=organic&utm_campaign=gbp","+34 959 24 02 44","Pizzería","Restaurante de comida rápida","Restaurante de comida sin gluten","Restaurante italiano","Comida a domicilio","Pizzería a domicilio","Pizza para llevar","Restaurante",,,"https://www.google.com/maps/search/?api=1&query=Telepizza%20Huelva%2C%20Residencial%20Moret%20-%20Comida%20a%20Domicilio&query_place_id=ChIJy_rHMyTQEQ0RVfn5s9Xxbtg","Pizzería"
"Bar Cafetería LAZOS","4.9","36","Av. Dr. Rubio, 11","Huelva","Huelva","ES",,"","Cafetería","Bar",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Cafeter%C3%ADa%20LAZOS&query_place_id=ChIJDUxLCADREQ0RakTfESiwh4Q","Cafetería"
"Bar TORONJO","3.8","4","C. Antonio Rengel, 6","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20TORONJO&query_place_id=ChIJtZfcDu3PEQ0RVcxp-RFi0AY","Bar"
"Bar Café Humilladero","4.2","25","Av. de Cristóbal Colón, 153","Huelva","Huelva","ES",,"+34 638 59 20 18","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Caf%C3%A9%20Humilladero&query_place_id=ChIJ_YdOZcTPEQ0R5hwNbuUZKs0","Bar"
"Bar Montaito",,,"Av. Santa Marta, 82","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Montaito&query_place_id=ChIJ9XO7DJPPEQ0RA8OUgIm3r7Y","Bar"
"Bar Da & Ly","3.8","8","C. Diego de Almagro, 13","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Da%20%26%20Ly&query_place_id=ChIJ8ds1gr7PEQ0RDUWtZCbfDiI","Bar"
"Burger King","3.7","686","SOLAR PERI, 6, AVENIDA ANDALUCIA, SOLAR PERI","Huelva","Huelva","ES","https://www.burgerking.es/home?utm_source=gmb&utm_medium=local_seo_home&utm_campaign=tracking_seo","+34 620 72 60 34","Restaurante de comida rápida","Restaurante americano","Restaurante especializado en pollo","Hamburguesería","Restaurante de comida para llevar","Restaurante","Restaurante vegano",,,,"https://www.google.com/maps/search/?api=1&query=Burger%20King&query_place_id=ChIJPWDHk_bREQ0R_UYFoPjpVvw","Restaurante de comida rápida"
"Avd de Las Flores",,,"Calle Dr. Juan Nicolás Márquez Domínguez, 142","Huelva","Huelva","ES",,"","Restaurante de comida rápida",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Avd%20de%20Las%20Flores&query_place_id=ChIJrf2kXQDPEQ0RK58knLuSbBo","Restaurante de comida rápida"
"Salon de Juegos Huelva",,,"Av. San Antonio","Huelva","Huelva","ES",,"","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Salon%20de%20Juegos%20Huelva&query_place_id=ChIJ8YGUtMbPEQ0RQrcPRAOyHlU","Restaurante"
"BURGUER CHICHO",,,"C. Geranio, 10","Huelva","Huelva","ES",,"","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BURGUER%20CHICHO&query_place_id=ChIJ-XdVrvrPEQ0R5nnnRzm0spo","Restaurante"
"Domino's Pizza","4","418","C. Rubén Darío, S/N","Huelva","Huelva","ES","https://www.dominospizza.es/","+34 959 75 04 93","Pizzería","Restaurante americano","Pizzería a domicilio","Pizza para llevar","Restaurante",,,,,,"https://www.google.com/maps/search/?api=1&query=Domino's%20Pizza&query_place_id=ChIJxwRoAjDPEQ0RBEa3zOcyIpY","Pizzería"
"Snack H’tacos","3.4","43","Av. de Cristóbal Colón, 124, Local, 1.3.1","Huelva","Huelva","ES",,"+34 641 65 40 12","Restaurante de comida rápida","Restaurante especializado en döner kebab","Comida a domicilio",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Snack%20H%E2%80%99tacos&query_place_id=ChIJQTMTJkLPEQ0RTTfr10L0tKA","Restaurante de comida rápida"
"Istanbul Kebab Huelva",,,"Pl. Huerto Paco","Huelva","Huelva","ES","https://istanbulkebab.es/","","Restaurante turco","Restaurante de comida rápida","Restaurante halal","Restaurante",,,,,,,"https://www.google.com/maps/search/?api=1&query=Istanbul%20Kebab%20Huelva&query_place_id=ChIJ5bpp6SLPEQ0RXFHUPaKe784","Restaurante turco"
"Valparaíso (Lateral bar Vaquero)",,,,"Huelva","Huelva","ES",,"","Parada de autobús",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Valpara%C3%ADso%20(Lateral%20bar%20Vaquero)&query_place_id=ChIJ74821MHPEQ0RLRlXYDrKpeE","Parada de autobús"
"Orenes Sports Bar & Salón de Juego",,,"C. Rubén Darío, 14","Huelva","Huelva","ES","http://orenessportsbar.com/","+34 968 24 25 00","Salón recreativo",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Orenes%20Sports%20Bar%20%26%20Sal%C3%B3n%20de%20Juego&query_place_id=ChIJ4acIq93PEQ0R8Ww8QsoNVpc","Salón recreativo"
"Restaurante Bar Arteconsa","3.7","3","C. Lima","Huelva","Huelva","ES",,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurante%20Bar%20Arteconsa&query_place_id=ChIJG34v18HPEQ0RDraqF7Z9kco",
"Bar Melli E Hijos",,,"Av. de Cristóbal Colón","Huelva","Huelva","ES",,"",,,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Melli%20E%20Hijos&query_place_id=ChIJ77FhjNvPEQ0RWFEHXVMzBqs",
"Bar Opapis","4.3","444","C. Pescadores, 7","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Opapis&query_place_id=ChIJewuP2OjPEQ0Rl99IH8zm6GQ","Bar"
"Masero - restaurante","4.6","1482","Av. Martín Alonso Pinzón, 14","Huelva","Huelva","ES","https://www.restaurantemasero.com/","+34 604 88 35 26","Restaurante","Restaurante mediterráneo",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Masero%20-%20restaurante&query_place_id=ChIJb7n-k5XREQ0RESLSlbyER7g","Restaurante"
"Restaurante Pura Huelva","4.6","677","C. Alcalde José María Amo, 8","Huelva","Huelva","ES","https://www.restaurantepurahuelva.com/","+34 624 40 06 58","Restaurante","Arrocería","Restaurante de cocina española","Bar de tapas",,,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurante%20Pura%20Huelva&query_place_id=ChIJrTo1wvrREQ0RywhZ96IDzHI","Restaurante"
"La Famiglia se sienta a la mesa","4.7","6918","C. Palacio, 10, Loc 5","Huelva","Huelva","ES","https://lafamigliarestaurantes.com/restaurantes/huelva/","+34 722 72 09 71","Restaurante italiano","Bar restaurante","Coctelería","Restaurante familiar","Restaurante de cocina del norte de Italia","Pizzería a domicilio","Pizzería","Pizza para llevar","Restaurante","Restaurante de cocina del sur de Italia","https://www.google.com/maps/search/?api=1&query=La%20Famiglia%20se%20sienta%20a%20la%20mesa&query_place_id=ChIJK3QaHc3REQ0RnhcrPEMJlmY","Restaurante italiano"
"Restaurante Azabache","4.7","3222","Calle Vázquez López, 22","Huelva","Huelva","ES","http://restauranteazabache.com/","+34 959 25 75 28","Bar de tapas","Restaurante andaluz","Restaurante mediterráneo","Restaurante","Restaurante de cocina española",,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurante%20Azabache&query_place_id=ChIJ6UmUbiXQEQ0Rj_ro0AClRwY","Bar de tapas"
"Restaurante Jardines del Odiel","4.7","592","C. Joaquín Turina, 10D","Huelva","Huelva","ES",,"+34 637 35 30 36","Restaurante",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Restaurante%20Jardines%20del%20Odiel&query_place_id=ChIJFSHIVwTREQ0R_9m-9Wx86RM","Restaurante"
"Ibiza Bar","4.8","152","Calle Dr. Francisco Vázquez Limón, 6","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ibiza%20Bar&query_place_id=ChIJj9oYMibQEQ0RqaE-z3rzWKE","Bar"
"Café-Bar Palacios","4.8","11","C. Periodista Ángel Serradilla, 6","Huelva","Huelva","ES",,"+34 675 90 36 59","Restaurante de cocina española","Restaurante de desayunos","Cafetería","Restaurante mediterráneo","Restaurante","Bar de tapas",,,,,"https://www.google.com/maps/search/?api=1&query=Caf%C3%A9-Bar%20Palacios&query_place_id=ChIJORQgLADREQ0Ri8fxCMpKeLM","Restaurante de cocina española"
"Berdigón 14","4.4","1320","C. Berdigón, 14","Huelva","Huelva","ES","http://www.berdigon14.com/","+34 675 36 29 72","Coctelería",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Berdig%C3%B3n%2014&query_place_id=ChIJm1te6yTQEQ0REKHc5awo5P0","Coctelería"
"Bar Pappis","4.6","1658","C. Conde López Muñoz, 4","Huelva","Huelva","ES",,"+34 959 23 58 06","Bar de tapas",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Pappis&query_place_id=ChIJYfwZnhvQEQ0RUhE6HHYnr9o","Bar de tapas"
"Bar El Pueblo","4.5","80","Av. José Muñoz de Vargas","Huelva","Huelva","ES",,"+34 625 17 18 02","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20El%20Pueblo&query_place_id=ChIJCZubuR7QEQ0R8wQy32yQ5co","Bar"
"Bar La Mantua","4.5","159","C. Rui-Vélez, 4","Huelva","Huelva","ES",,"","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20La%20Mantua&query_place_id=ChIJM1rBIybQEQ0RCJrBeiyqbYE","Bar"
"Bar Paco Moreno","4.3","1198","P.º Independencia, 18","Huelva","Huelva","ES","https://m.facebook.com/cbpacomoreno/?locale2=es_ES","+34 959 24 30 48","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20Paco%20Moreno&query_place_id=ChIJeV9G1CfQEQ0RkhsZPt9ceRY","Bar"
"Bar ""La Reja""","4.3","96","C. Juan Sebastián Elcano, 1","Huelva","Huelva","ES",,"+34 600 33 89 54","Bar",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Bar%20%22La%20Reja%22&query_place_id=ChIJFRDYQiDQEQ0RKNF82GuuOfo","Bar"
